Name,Type,Year,Episodes,Genres,Synopsis,Rating,Members,Studio,Source,Theme,Demographic
Kuroshitsuji: Book of Murder,OVA, 2015,2,"['Action', 'Comedy', 'Mystery', 'Supernatural']","At the behest of the Queen, Earl Ciel Phantomhive hosts a lavish dinner party attended by several of the finest members of polite society—as well as struggling author, Arthur. But as the party reaches its high, a terrible murder takes place and none other than the Earl himself is suspected of the crime.As a violent storm rages on outside, the death count continues to climb. The Phantomhive household and their eminent guests find they must cooperate in order to solve this mystery before they too fall prey to the mysterious murderer. However, it seems that not even the perfect butler, Sebastian Michaelis, is safe from this horror.[Written by MAL Rewrite]",8.07,224667,A-1 Pictures,Manga,"['Historical', 'Mythology']",Shounen
Diamond no Ace,TV, 2013,75,['Sports'],"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball.However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way.[Written by MAL Rewrite]",8.11,223817,"['Madhouse', 'Production I.G']",Manga,"['School', 'Team Sports']",Shounen
Yu☆Gi☆Oh!,TV, 1998,27,"['Action', 'Comedy', 'Fantasy']","Bullies often target someone frail and weak—someone exactly like Yuugi Mutou. His beautiful childhood friend, Anzu Mazaki, is always there to stand up for him, but he can't depend on her forever. Katsuya Jonouchi, who is almost always accompanied by his verbal sparring partner Hiroto Honda, doesn't seem like a bad person either, despite always bringing Yuugi trouble. But most of all, Yuugi wishes for a true friend who understands him and would never betray him.Yuugi treasures his Millennium Puzzle, an ancient Egyptian artifact that was brought into his grandfather's game shop. Believing that solving the puzzle will grant him his wish, he completes the puzzle, unleashing a new personality within him—the soul of the ""King of Games.""Dark, twisted, strong, and reliable, the new personality named Yami Yuugi is the exact opposite of Yuugi. Upon any injustice toward him, Yami Yuugi takes over Yuugi's body and forces the opponent into a ""Shadow Game."" The stakes are high as whoever loses shall have a taste of the darkness that resides within their own heart.[Written by MAL Rewrite]",7.21,221278,Toei Animation,Manga,Strategy Game,Shounen
Hajime no Ippo: Rising,TV, 2013,25,['Sports'],"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.[Written by MAL Rewrite]",8.59,221261,"['Madhouse', 'MAPPA']",Manga,Combat Sports,Shounen
One Piece Film: Strong World,Movie, 2009,1,"['Action', 'Adventure', 'Fantasy']","Upon hearing news that islands in East Blue are being destroyed, Monkey D. Luffy and his crew go to investigate. On their way, however, an outlandish pirate ship appears out of the sky, helmed by the infamous pirate Shiki ""the Golden Lion""—a man who ate the Float-Float Fruit and the first ever prisoner to escape from Impel Down. In his quest to defeat the World Government, Shiki kidnaps Nami to be his own navigator and sends the rest of the Straw Hat Pirates to his floating islands as hostages, leaving her in a dilemma. Separated in a land under Shiki's absolute control, Luffy and his crew must survive the mystifying terrain in order to bring back their navigator and friend.[Written by MAL Rewrite]",8.11,221083,Toei Animation,Manga,,Shounen
Mirai Nikki,OVA, 2010,1,"['Action', 'Supernatural']",A short OVA that was bundled with the limited edition of the eleventh volume of the manga.,7.20,220396,asread.,Manga,"['High Stakes Game', 'Survival']",Shounen
Naruto: Shippuuden Movie 5 - Blood Prison,Movie, 2011,1,"['Action', 'Adventure', 'Fantasy']","During their discussion of a sensitive investigation A, the Fourth Raikage, and his subordinates are ambushed by a cloaked intruder. As the Kumogakure leader repels the assault, he is shocked to discover that the culprit is Naruto Uzumaki! However, the assassination attempt is not the only crime attributed to the young ninja, who vigorously denies the accusations. To avoid a diplomatic conflict, Tsunade forcibly sends him to Kusagakure's Houzuki Castle—a maximum-security penitentiary dedicated to ninja criminals—until the situation is resolved.Despite his powers being immediately suppressed by Mui, the prison's warden who possesses the ability to seal chakra, Naruto recklessly engages in futile escape attempts. But with the help of two fellow inmates, he realizes that there is more to this legendary detention facility than meets the eye. Uncovering a terrible secret, the trio embarks on a dangerous operation that may be Naruto's only chance to break free and prove his innocence.[Written by MAL Rewrite]",7.45,218924,Pierrot,Manga,,Shounen
Binbougami ga!,TV, 2012,13,"['Comedy', 'Supernatural']","Ichiko Sakura lives life on easy mode. Blessed with good fortune, she has everything she has ever wanted, including beauty, intelligence, and wealth. Momiji Binboda is a goddess of poverty. In stark contrast to Ichiko, she is cursed with misfortune, such as a perpetual cast on her arm, a flat chest, and a box under a bridge for a home.Their lives collide when Momiji lives up to her title and delivers some unfortunate news to Ichiko: her large amount of luck is due to her subconsciously draining the luck from those around her! Momiji has been tasked with stealing back Ichiko's fortune before she leaves everyone without enough luck to even survive. But Ichiko, with the help of the wandering monk Bobby Statice, manages to fight off the poverty goddess. This defeat forces the goddess to enlist reinforcements in the form of Kumagai, her teddy bear familiar, and the masochistic dog god, Momoo Inugami.Insanity ensues as Ichiko's quiet life is replaced with daily battles for her fortune. To survive the chaos, Ichiko will need all the luck she can get in Binbougami ga!![Written by MAL Rewrite]",7.69,218179,Sunrise,Manga,Parody,Shounen
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Movie, 2005,1,"['Action', 'Adventure', 'Fantasy']","In a tumultuous effort, the Sunagakure ninjas attempt to repel an unforeseen invasion of mysterious armored warriors on the Land of Wind. Shortly afterwards, the same armored troops led by Temujin—a skilled knight of impressive power—ambush Naruto Uzumaki, Sakura Haruno, and Shikamaru Nara, who are on a mission to recover a lost ferret. Naruto and Temujin engage in a fierce fight that ends with both of them falling off a cliff.Taken aback by their friend's sudden misfortune, Sakura and Shikamaru witness yet another alarming development: a massive moving structure appears out of nowhere, ravaging any trees and rocks in its path. While Sakura sets off to find Naruto, Shikamaru infiltrates the imposing fortress in hopes of learning more about the critical situation. Entangled in a relentless conflict, the Konohagakure ninjas join forces with their Sunagakure counterparts to defeat the common enemy. However, amidst the turmoil, a clash between two different visions of an ideal world emerges.[Written by MAL Rewrite]",6.87,216576,Pierrot,Manga,,Shounen
Tsubasa Chronicle,TV, 2005,26,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']","During an excavation at the mysterious ruins in Clow Country, Syaoran discovers his childhood friend Princess Sakura appear on the site with wings that disperse into many feathers. As the feather's disappear to different dimensions, so does Sakura's memory. In attempts to save Sakura's life and restore her memory, Syaoran travels through to another world to find a solution. There's only one thing left he can do. Travel through to different dimensions to collect Sakura's feathers. Helping out with the quest is Kurogane, an exiled ninja from Japan Country who wishes to return to his world, the runaway magician, Fay, who desires to jump between each world never to return to his own and the white meat-bun shaped creature, Mokona.",7.52,216121,Bee Train,Manga,,Shounen
Yowamushi Pedal,TV, 2013,38,"['Comedy', 'Drama', 'Sports']","Sakamichi Onoda is a cheerful otaku looking to join his new school's anime club, eager to finally make some friends. Unfortunately, the club has been disbanded and he takes it upon himself to revive it by finding students who are willing to join. Without much luck, Onoda decides to make a round trip to Akihabara on his old, bulky city bicycle, a weekly 90-kilometer ride he has been completing since fourth grade. This is when he meets fellow first year student, Shunsuke Imaizumi, a determined cyclist who is using the school's steep incline for practice. Surprised by Onoda's ability to climb the hill with his specific type of bicycle, Imaizumi challenges him to a race, with the proposition of joining the anime club should Onoda win. And thus begins the young boy's first foray into the world of high school bicycle racing![Written by MAL Rewrite]",7.95,215354,TMS Entertainment,Manga,,Shounen
Chrno Crusade,TV, 2003,24,"['Action', 'Romance', 'Supernatural']","The 1920s was a decade of great change and upheaval, with monstrous demons appearing across America. To combat this menace, the holy organization known as the Order of Magdalene was established. The organization's New York branch is home to the young and reckless Sister Rosette Christopher, as well as her partner Chrno. Tasked with the extermination of demonic threats, the renowned team is excellent at their job, despite causing extensive collateral damage on their missions.However, both Rosette and Chrno are driven by their dark pasts. Through exterminating demons, Rosette hopes to find her lost brother Joshua who was taken by the sinner and demon, Aion, with whom Chrno also shares a bloody history. The two of them must fight off the increasingly dangerous demonic menace and discover its source, while continuing to search for the truth behind Joshua's disappearance.[Written by MAL Rewrite]",7.63,215260,Gonzo,Manga,"['Historical', 'Mythology']",Shounen
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie, 2013,1,"['Action', 'Comedy', 'Sci-Fi']","When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.[Written by MAL Rewrite]",8.93,214953,Sunrise,Manga,"['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",Shounen
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie, 2008,1,"['Action', 'Adventure', 'Fantasy']","After a mysterious pair attack Rukia Kuchiki and erase her memories while she is in Seireitei, Ichigo Kurosaki, a substitute Soul Reaper, briefly forgets Rukia, until he is reminded of her by Kon, an Underpod Mod-Soul. Confused, he seeks his town's candy-shop owner, Kisuke Urahara, who opens the pathway to Seireitei for them. Ichigo is then shocked to find that his allies in Seireitei, the Shinigami of the Soul Society, have forgotten him.Filled with action, Kimi no Na wo Yobu follows Ichigo and Kon as they fight against their former comrades while searching for the missing Rukia and discovering her assailants before they strike again.[Written by MAL Rewrite]",7.50,214606,Pierrot,Manga,,Shounen
Hayate no Gotoku!,TV, 2007,52,"['Action', 'Comedy', 'Romance']","According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt.Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan.Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku![Written by MAL Rewrite]",7.53,214345,SynergySP,Manga,"['Harem', 'Parody']",Shounen
Big Order (TV),TV, 2016,10,['Action'],"Ten years ago, a fairy by the name of Daisy appeared and asked the child Eiji Hoshimiya what his one and only wish was. Although his wish remains a mystery, the consequences were catastrophic. In an event called the ""Great Destruction,"" the world started to fall apart as everything collapsed and countless people died.Now, Eiji is a high school student whose only concern is his sick sister. He does not remember what he wished for; all that he remembers is that his wish caused the Great Destruction. In the years since that event, thousands of other people have also received abilities to make their heart's desire come true. These people called ""Orders"" are believed to be evil and are hated by the general public. However, some of these Orders are after Eiji's life in vengeance for those that he killed. Will Eiji be able to survive the numerous assassination attempts? And the biggest mystery of all: what did he wish for, and what were his intentions in wishing for something that caused so much desolation?[Written by MAL Rewrite]",5.36,213221,asread.,Manga,Super Power,Shounen
SKET Dance,TV, 2011,77,['Comedy'],"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime.""  And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration.  However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services.  [Written by MAL Rewrite]",8.22,212133,Tatsunoko Production,Manga,School,Shounen
Ushio to Tora (TV),TV, 2015,26,"['Action', 'Adventure', 'Comedy', 'Supernatural']","Ushio Aotsuki is a stubborn middle school student and son of an eccentric temple priest who goes about life without care for his father's claims regarding otherworldly monsters known as youkai. However, as he is tending to the temple while his father is away on work, his chores lead him to a shocking discovery: in the basement he finds a menacing youkai impaled by the fabled Beast Spear.The beast in question is Tora, infamous for his destructive power, who tries to coerce Ushio into releasing him from his five hundred year seal. Ushio puts no trust in his words and refuses to set him free. But when a sudden youkai outbreak puts his friends and home in danger, he is left with no choice but to rely on Tora, his only insurance being the ancient spear if he gets out of hand.Ushio and Tora's meeting is only the beginning of the unlikely duo's journey into the depths of the spiritual realm. With the legendary Beast Spear in his hands, Ushio will find out just how real and threatening the world of the supernatural can be.[Written by MAL Rewrite]",7.58,211709,"['MAPPA', 'Studio VOLN']",Manga,Mythology,Shounen
Aoharu x Kikanjuu,TV, 2015,12,['Sports'],"Hotaru Tachibana has a strong sense of justice and just cannot help confronting those who choose to perform malicious acts. Furthermore, Hotaru is actually a girl who likes to disguise herself as a boy. After hearing rumors that her best friend was tricked by the popular host of a local club, Hotaru seeks to punish the evildoer. Upon arriving at the club, however, she is challenged to a so-called ""survival game"" by the host Masamune Matsuoka, where the first person hit by the bullet of a toy gun will lose.After a destructive fight which results in Hotaru's loss, Masamune forces the young ""boy"" to join his survival game team named Toy Gun Gun, in order to repay the cost of the damages that ""he"" has caused inside the club. Although she is initially unhappy with this turn of events, Hotaru quickly begins to enjoy what survival games have to offer and is determined to pay off her debt, much to the dismay of Tooru Yukimura, the other member of Toy Gun Gun. As time goes on, Hotaru begins to develop a close friendship with the rest of the team and hopes to take part in realizing their dream of winning the Top Combat Game (TCG), a tournament to decide the best survival game team in Japan.Although Hotaru tries her best, there are just two little problems: she is absolutely terrible at the game, and Toy Gun Gun doesn't allow female members on their team![Written by MAL Rewrite]",7.16,209566,Brain's Base,Manga,"['Crossdressing', 'Team Sports']",Shounen
Jahy-sama wa Kujikenai!,TV, 2021,20,"['Comedy', 'Supernatural']","The great Jahy will not be defeated! Simultaneously combating starvation, the lack of A/C, and the unavoidable weakness of turning child-sized, Jahy—previously the second strongest being in the Dark Realm—is under great stress. If it weren't for the destruction of the mana crystal which used to power the Dark Realm, Jahy would still be living a life of power and luxury. And yet, at the moment, brawling with the landlady over rent is a recurring event for Jahy. Just to have a place to stay and food to eat, Jahy must work part-time. However, her immense pride will not allow her to live under such poor conditions for any longer than necessary. Vowing to reinstate the Dark Realm to its former glory, Jahy continues her journey to reassemble the mana crystal.[Written by MAL Rewrite]",7.08,208880,SILVER LINK.,Manga,,Shounen
Boku no Hero Academia 6th Season,TV, 2022,?,['Action'],Sixth season of Boku no Hero Academia.,0,206990,Bones,Manga,"['School', 'Super Power']",Shounen
Edens Zero,TV, 2021,25,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","All his life, Shiki has been surrounded by machines. At Granbell Kingdom, a long-abandoned amusement park, he is the only one of his kind around. That is, until Rebecca Bluegarden and her feline companion Happy arrive, unaware that they are Granbell's first visitors in one hundred years. Their goal is to make fun videos for their B-Cube channel, but what they find instead is a friend in the socially awkward Shiki.When Granbell becomes too dangerous for the three of them, they set off on an adventure through the Sakura Cosmos. They hope to make more interesting videos and even find the elusive goddess Mother, while Shiki wants to make more friends, spurred on by the words of his late grandfather. Of course, the journey will not be easy, as no one has seen Mother before, but Shiki is determined to reach his goal and explore the boundless reaches of space together with his new friends.[Written by MAL Rewrite]",7.32,201170,J.C.Staff,Manga,Space,Shounen
Shuumatsu no Harem,TV, 2021,11,"['Sci-Fi', 'Ecchi']","Reito Mizuhara is a medical student at the National Advanced Medical School in Tokyo who contracts a rare, lethal disease called cellular sclerosis. In order to be treated, he is put into cryogenic sleep for five years. Upon awakening, he learns that a year into his slumber, a worldwide pandemic broke out, caused by the novel Male Killer (MK) virus which exclusively afflicts males and has killed all other men on Earth. Fortunately, Reito and four other men were spared during their cryosleep and are now immune to the virus. As the only men left in the world, they are thus tasked with mating with as many women as possible to repopulate the planet. However, Reito is committed to his childhood friend and sole love interest, Elisa Tachibana—only to learn that she went missing three years ago. While the other male survivors adapt accordingly to this new world, Reito instead chooses to pursue Elisa, fight never-ending temptation, and investigate this mysterious virus. [Written by MAL Rewrite]",6.00,200723,"['AXsiZ', 'Studio Gokumi']",Manga,"['Harem', 'Time Travel']",Shounen
Aku no Hana,TV, 2013,13,"['Drama', 'Romance']","Kasuga Takao is a boy who loves reading books, particularly Baudelaire's Les Fleurs du Mal. A girl at his school, Saeki Nanako, is his muse and his Venus, and he admires her from a distance. One day, he forgets his copy of Les Fleurs du Mal in the classroom and runs back alone to pick it up. In the classroom, he finds not only his book, but Saeki's gym uniform. On a mad impulse, he steals it.Now everyone knows ""some pervert"" stole Saeki's uniform, and Kasuga is dying with shame and guilt. Furthermore, the weird, creepy, and friendless girl of the class, Nakamura, saw him take the uniform. Instead of revealing it was him, she recognizes his kindred deviant spirit and uses her knowledge to take control of his life. Will it be possible for Kasuga to get closer to Saeki, despite Nakamura's meddling and his dark secret? What exactly does Nakamura intend to do with him?(Source: MangaHelpers)",7.14,200120,Zexcs,Manga,"['Psychological', 'School']",Shounen
Fairy Tail Movie 1: Houou no Miko,Movie, 2012,1,"['Action', 'Adventure', 'Fantasy']","In the mountains of north Fiore lies the Fire Village, where a lush-blue relic known as the Phoenix Stone is preserved. Entrusted to a mystifying woman named Éclair, it is said to contain the power of an ancient phoenix. She wanders the land alone and protects the stone from harm, despite having no memory of why it was left in her care and only the faintest recollection of where she must take it. After encountering the wizard guild Fairy Tail, Éclair receives an offer from Natsu Dragneel and his friends to help her uncover the mysteries surrounding the stone. However, in the midst of the group's journey, Éclair is suddenly attacked and the stone is taken from her. With this, nefarious intentions to revive the blazing phoenix for its unparalleled power come to light, and the wizards of Fairy Tail find themselves in a situation that could spell calamity. They must now work together to prevent the revival of the phoenix and save the world from ruin. [Written by MAL Rewrite]",7.37,200022,"['A-1 Pictures', 'Satelight']",Manga,,Shounen
Burn the Witch,Movie, 2020,3,"['Action', 'Fantasy']","Although citizens of London view dragons as a fairy-tale myth, statistics confirm that 72% of the city's deaths are caused by these grotesque beings. Unable to see them, the public is oblivious to their existence. However, in a mirror dimension to ""Front London,"" exists a place where dragons can be seen with the naked eye—""Reverse London.""Ninny Spangcole is a member of a popular girl group. But in Reverse London, she works as a ""Witch"" at Wing Bind—an organization that dispatches agents to exterminate the beasts and protect the citizens of both Londons using magic. Ninny and her partner, Noel Niihashi, in addition to their jobs, safeguard Baldo Ywain Parks, a young man with an odd connection to the dragons.Thanks to the Wing Bind's hard work, there were no fatal dragon attacks for almost a century. But the peace shatters when Baldo's presence unexpectedly causes a Dark Dragon to wreak havoc in the city. The witches are further inconvenienced when Ninny's troublesome former bandmate appears in Reverse London—in tandem with another powerful dragon.[Written by MAL Rewrite]",7.11,199188,"['Studio Colorido', 'team Yamahitsuji']",Manga,,Shounen
Vanitas no Karte Part 2,TV, 2022,12,['Supernatural'],"Vanitas and Noé Archiviste head out to the town of Gévaudan in search of the ""Beast,"" an enormous wolf-like creature that has slaughtered hundreds of people. Suspecting that the Beast is a curse-bearing vampire, Vanitas primarily aims to heal it using the powers of his grimoire.Along the way, the two get separated and suddenly travel back to the past—to the exact moment the Beast is lurking in the woods. After a battle against the gigantic wolf and a vampire hunter, Vanitas decides to team up with Jeanne in order to find Noé. Despite being allies, Jeanne's goal is the opposite of Vanitas', as she was tasked to kill the Beast—suspecting it may be someone she used to know.Meanwhile, a severely wounded Noé is picked up by the mysterious Chloé d'Apchier and her servant. Like Noé, Chloé is a vampire whose existence was erased from the public's knowledge. She has been a guardian for future generations and once tried to find a way to become human again. While Noé is grateful to Chloé for her hospitality, little does he know that she might be siding with forces far more dangerous than the Beast itself.[Written by MAL Rewrite]",8.21,198890,Bones,Manga,"['Historical', 'Vampire']",Shounen
Yu☆Gi☆Oh!: Duel Monsters GX,TV, 2004,180,"['Action', 'Comedy', 'Fantasy']","In the world of Duel Monsters, a new generation of duelists await their turn to bid for the highest title: The King of Games. As an aspiring duelist, the happy-go-lucky Juudai Yuuki enrolls at the Duel Academy, a reputable institution tasked with nurturing these potential challengers. On his first day, however, Juudai's laid back and careless attitude causes him to arrive late to his entrance exam. There, he stumbles upon a familiar figure who entrusts him the ""Winged Kuriboh,"" a card which becomes Judai's new partner. Soon, he begins living as a duelist—but will destiny and darkness bend his reality into something beyond his imagination?Yu☆Gi☆Oh!: Duel Monsters GX follows the story of Juudai as he strives to fulfill his goal of becoming the next King of Games. As they are thrust into countless unprecedented circumstances, one thing is for sure for Juudai and his friends—there will never be a dull moment at the Duel Academy! [Written by MAL Rewrite]",7.18,198452,Gallop,Manga,Strategy Game,Shounen
Dragon Ball Z Movie 14: Kami to Kami,Movie, 2013,1,"['Action', 'Adventure', 'Fantasy']","Following the defeat of a great adversary, Gokuu Son and his friends live peaceful lives on Earth. Meanwhile, in space, Beerus the God of Destruction awakens from his long slumber, having dreamed of an entity known as a Super Saiyan God. With the help of his assistant, Whis, Beerus looks for this powerful being, as he wishes to fight a worthy opponent. After discovering that the Saiyan home planet was destroyed, he tracks down the remaining Saiyans on Earth, looking for Gokuu specifically.Having only heard of the Super Saiyan God in legends, Gokuu and his comrades summon Shen Long the Eternal Dragon, who they find out is afraid of Beerus. After learning the secret of the Super Saiyan God, an intense battle between Gokuu and Beerus commences, the immense power of which puts the Earth in terrible danger.[Written by MAL Rewrite]",7.39,196930,Toei Animation,Manga,"['Martial Arts', 'Super Power']",Shounen
Yuukoku no Moriarty Part 2,TV, 2021,13,"['Mystery', 'Suspense']","Great Britain is ablaze with news of a so-called ""Lord of Crime,"" a criminal mastermind responsible for the downfall of several unruly nobles. In truth, the Lord of Crime is not an individual, but rather a group consisting of William James Moriarty and his two brothers, Louis and Albert. Together, they wish to destroy everything rotten about their current world and create a new, fair society for all. To accomplish their goal, they must commit criminal acts, which the great detective Sherlock Holmes and his partner, John H. Watson, cannot abide by. A dangerous cat and mouse game begins between the Lord of Crime and Sherlock, with each trying to outwit the other. Yet Sherlock, despite his skills, has no idea that his foe is right under his nose.Involved with both parties is a woman named Irene Adler, who is as beautiful as she is cunning. No stranger to scandal, Irene has embroiled herself in one that may be too big even for her, as the classified documents she stole could shake the very foundations of the British Empire. Can Irene be saved, or does a deadly future await her?[Written by MAL Rewrite]",8.25,196161,Production I.G,Manga,"['Historical', 'Psychological']",Shounen
Asu no Yoichi!,TV, 2009,12,"['Comedy', 'Romance', 'Ecchi']","Yoichi Karasuma has spent all of his life in the mountains, training in the Soaring Wind, Divine Wind swordsmanship style. Under his father’s guidance, he is able to master the technique at the age of 17. With nothing left to learn, Yoichi is sent to a new dojo located in the city so he can continue to train and gain an understanding of modern society.Unfortunately, Yoichi has no idea how to act or speak to anyone in the present day and acts like a samurai, complete with odd speech and traditional clothing. As he goes to live with the Ikaruga sisters at the dojo, Yoichi, clueless on how to interact with others, is constantly hurtled in hilarious misunderstandings. Asu no Yoichi! follows Yoichi as he stumbles through his new life and tries to learn how to live in the modern world with his new family.[Written by MAL Rewrite]",6.72,196072,AIC,Manga,"['Harem', 'Martial Arts']",Shounen
Hitoribocchi no Marumaru Seikatsu,TV, 2019,12,"['Comedy', 'Slice of Life']","Many of us know what it is like to transition to a new school with few to no friends in a new environment, going through the arduous process of getting to know people again. Bocchi Hitori knows this struggle all too well, having just graduated from elementary school and thrown into middle school. Unfortunately, she suffers from extreme social anxiety: she faints when overwhelmed, vomits when nervous, and draws up ridiculously convoluted plans to avoid social contact. It does not help that her only friend from elementary school, Kai Yawara, will not be attending the same middle school as Bocchi. However, wanting to help her, Kai severs ties with Bocchi and promises to reconcile with her when she befriends all of her classmates in her new middle school class.Even though Bocchi has no faith in herself, she is determined to be friends with Kai again. Summoning all of her courage, Bocchi takes on the daunting challenge of making friends with her entire class, starting with the delinquent-looking girl sitting in front of her...[Written by MAL Rewrite]",7.48,195487,C2C,4-koma manga,School,Shounen
Soul Eater NOT!,TV, 2014,12,"['Action', 'Comedy', 'Supernatural', 'Ecchi']","Soul Eater NOT! is a spin-off and side story that takes place one year prior to the events of the original Soul Eater. At the Death Weapon Meister Academy, humans born with the power to transform into weapons and those with the power to wield these weapons (Meisters) train to hone their natural talent. The characters of the main series are enrolled in the Especially Advantaged Talent class, where they train to become warriors of justice capable of defeating what threats prey on innocent lives—or even the entire world.Other students at the DWMA are less talented. Members of the Normally Overcome Target class focus less on being warriors of justice and more on controlling their powers so they don't hurt themselves or anyone around them. Tsugumi Harudori, a new halberd-transforming student, meets Meisters Meme Tatane and Anya Hepburn and quickly grows indecisive about which of the two new friends should be her partner. As they learn to use these powers and settle in, their lives as everyday students will be far from normal.",5.89,194488,Bones,Manga,,Shounen
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,Movie, 2006,1,"['Action', 'Adventure', 'Fantasy']","Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two return from a long trip around the world. As if guarding two whimsical high-ranked individuals was not challenging enough, the prince's reckless decision to acquire an entire circus during their journey—mainly to entertain Hikaru's wish of owning the saber-toothed tiger featured in the show—further propels the mission into disarray.Just as things are finally settling down, the arrival of Michiru's convoy at the Land of Moon is met with an unforeseen crisis—the greedy Chief Minister Shabadaba has taken over the country with the assistance of mysterious, powerful ninjas. While Kakashi's team relentlessly fights the enemy by any means necessary, the two princes are forced to confront a new outlook on life through adversity.[Written by MAL Rewrite]",6.91,191715,Pierrot,Manga,,Shounen
Bleach Movie 4: Jigoku-hen,Movie, 2010,1,"['Action', 'Adventure', 'Fantasy']","""Hell"" is the place where a person is sent to who committed violent crimes when they were alive. Shinigami are forbidden to go there. One day, prisoners revolt and make their escape to Karakura—the real world—where Ichigo and his friends live in. Ichigo and his friends are defeated one after the other by prisoners with overwhelming power. A mysterious man appears who comes to their rescue. With Kokutou leading the way, Ichigo, Rukia, Uryuu, and Renji marche into Hell to save the world.Note: Episode 299 of Bleach serves as a prologue to this movie.(Source: AniDB, edited)",7.61,191601,Pierrot,Manga,,Shounen
